Kevin Connauton | Columbus Blue Jackets | Tripping | 02/19/2015 | Pittsburgh Penguins | Away | Steve Kozari, Dave Lewis
Mark Scheifele | Winnipeg Jets | Tripping | 02/19/2015 | Washington Capitals | Away | Greg Kimmerly, Eric Furlatt
Karl Alzner | Washington Capitals | Delaying Game-Puck over glass | 02/19/2015 | Winnipeg Jets | Home | Greg Kimmerly, Eric Furlatt
Blake Wheeler | Winnipeg Jets | Tripping | 02/19/2015 | Washington Capitals | Away | Greg Kimmerly, Eric Furlatt
Tyler Myers | Winnipeg Jets | Tripping | 02/19/2015 | Washington Capitals | Away | Greg Kimmerly, Eric Furlatt
Adam Pardy | Winnipeg Jets | Tripping | 02/19/2015 | Washington Capitals | Away | Greg Kimmerly, Eric Furlatt
Chris Thorburn | Winnipeg Jets | Too many men/ice - bench | 02/19/2015 | Washington Capitals | Away | Greg Kimmerly, Eric Furlatt
Troy Brouwer | Washington Capitals | Roughing | 02/19/2015 | Winnipeg Jets | Home | Greg Kimmerly, Eric Furlatt
Jacob Trouba | Winnipeg Jets | Tripping | 02/19/2015 | Washington Capitals | Away | Greg Kimmerly, Eric Furlatt
Brooks Orpik | Washington Capitals | Interference | 02/19/2015 | Winnipeg Jets | Home | Greg Kimmerly, Eric Furlatt
Erik Gudbranson | Florida Panthers | Delaying Game-Puck over glass | 02/19/2015 | Montreal Canadiens | Away | Rob Martell, Chris Lee
Alex Petrovic | Florida Panthers | Fighting (maj) | 02/19/2015 | Montreal Canadiens | Away | Rob Martell, Chris Lee
Jarred Tinordi | Montreal Canadiens | Fighting (maj) | 02/19/2015 | Florida Panthers | Home | Rob Martell, Chris Lee
Jarred Tinordi | Montreal Canadiens | Interference | 02/19/2015 | Florida Panthers | Home | Rob Martell, Chris Lee
Antoine Roussel | Dallas Stars | Fighting (maj) | 02/19/2015 | SJ Sharks | Home | Frederick L'Ecuyer, Tim Peel
Brent Burns | SJ Sharks | Fighting (maj) | 02/19/2015 | Dallas Stars | Away | Frederick L'Ecuyer, Tim Peel
Vernon Fiddler | Dallas Stars | Roughing | 02/19/2015 | SJ Sharks | Home | Frederick L'Ecuyer, Tim Peel
Joe Thornton | SJ Sharks | Tripping | 02/19/2015 | Dallas Stars | Away | Frederick L'Ecuyer, Tim Peel
Ryan Garbutt | Dallas Stars | Elbowing | 02/19/2015 | SJ Sharks | Home | Frederick L'Ecuyer, Tim Peel
Scott Hannan | SJ Sharks | Hooking | 02/19/2015 | Dallas Stars | Away | Frederick L'Ecuyer, Tim Peel
Justin Braun | SJ Sharks | Holding | 02/19/2015 | Dallas Stars | Away | Frederick L'Ecuyer, Tim Peel
Zach Bogosian | Buffalo Sabres | Roughing | 02/20/2015 | NY Rangers | Home | Kevin Pollock, Kyle Rehman
Tyson Strachan | Buffalo Sabres | Delaying Game-Puck over glass | 02/20/2015 | NY Rangers | Home | Kevin Pollock, Kyle Rehman
Lee Stempniak | NY Rangers | Hi-sticking | 02/20/2015 | Buffalo Sabres | Away | Kevin Pollock, Kyle Rehman
Rick Nash | NY Rangers | Hooking | 02/20/2015 | Buffalo Sabres | Away | Kevin Pollock, Kyle Rehman
Tanner Glass | NY Rangers | Fighting (maj) | 02/20/2015 | Buffalo Sabres | Away | Kevin Pollock, Kyle Rehman
Tyson Strachan | Buffalo Sabres | Fighting (maj) | 02/20/2015 | NY Rangers | Home | Kevin Pollock, Kyle Rehman
Chris Stewart | Buffalo Sabres | Slashing | 02/20/2015 | NY Rangers | Home | Kevin Pollock, Kyle Rehman
Zach Bogosian | Buffalo Sabres | Misconduct (10 min) | 02/20/2015 | NY Rangers | Home | Kevin Pollock, Kyle Rehman
J.T. Miller | NY Rangers | Misconduct (10 min) | 02/20/2015 | Buffalo Sabres | Away | Kevin Pollock, Kyle Rehman
Marcus Foligno | Buffalo Sabres | Slashing | 02/20/2015 | NY Rangers | Home | Kevin Pollock, Kyle Rehman
Derek Stepan | NY Rangers | Interference | 02/20/2015 | Buffalo Sabres | Away | Kevin Pollock, Kyle Rehman
Jordin Tootoo | New Jersey Devils | Too many men/ice - bench | 02/20/2015 | Vancouver Canucks | Home | Chris Rooney, Francois St. Laurent
Radim Vrbata | Vancouver Canucks | Too many men/ice - bench | 02/20/2015 | New Jersey Devils | Away | Chris Rooney, Francois St. Laurent
Linden Vey | Vancouver Canucks | Hooking | 02/20/2015 | New Jersey Devils | Away | Chris Rooney, Francois St. Laurent
Patrik Elias | New Jersey Devils | Hi-sticking | 02/20/2015 | Vancouver Canucks | Home | Chris Rooney, Francois St. Laurent
Derek Dorsett | Vancouver Canucks | Hooking | 02/20/2015 | New Jersey Devils | Away | Chris Rooney, Francois St. Laurent
Marek Zidlicky | New Jersey Devils | Closing hand on puck | 02/20/2015 | Vancouver Canucks | Home | Chris Rooney, Francois St. Laurent
Luca Sbisa | Vancouver Canucks | Delaying Game-Puck over glass | 02/20/2015 | New Jersey Devils | Away | Chris Rooney, Francois St. Laurent
Petter Granberg | Toronto Maple Leafs | Cross checking | 02/20/2015 | Carolina Hurricanes | Away | Kelly Sutherland, Graham Skilliter
Nathan Gerbe | Carolina Hurricanes | Slashing | 02/20/2015 | Toronto Maple Leafs | Home | Kelly Sutherland, Graham Skilliter
Andrej Nestrasil | Carolina Hurricanes | Too many men/ice - bench | 02/20/2015 | Toronto Maple Leafs | Home | Kelly Sutherland, Graham Skilliter
