Eric Gryba | Ottawa Senators | Hooking | 12/15/2014 | Buffalo Sabres | Away | Wes McCauley, Dean Morton
Jared Cowen | Ottawa Senators | Holding | 12/15/2014 | Buffalo Sabres | Away | Wes McCauley, Dean Morton
Mika Zibanejad | Ottawa Senators | Hi-sticking | 12/15/2014 | Buffalo Sabres | Away | Wes McCauley, Dean Morton
Alex Chiasson | Ottawa Senators | Roughing | 12/15/2014 | Buffalo Sabres | Away | Wes McCauley, Dean Morton
Bobby Ryan | Ottawa Senators | Slashing | 12/17/2014 | New Jersey Devils | Away | Justin St. Pierre, Brad Watson
Bobby Ryan | Ottawa Senators | Tripping | 12/17/2014 | New Jersey Devils | Away | Justin St. Pierre, Brad Watson
Eric Gryba | Ottawa Senators | Hooking | 12/17/2014 | New Jersey Devils | Away | Justin St. Pierre, Brad Watson
Alex Chiasson | Ottawa Senators | Unsportsmanlike conduct | 12/17/2014 | New Jersey Devils | Away | Justin St. Pierre, Brad Watson
Kyle Turris | Ottawa Senators | Holding the stick | 12/17/2014 | New Jersey Devils | Away | Justin St. Pierre, Brad Watson
Colin Greening | Ottawa Senators | Hooking | 12/19/2014 | Anaheim Ducks | Home | Dean Morton, Francois St. Laurent
Mika Zibanejad | Ottawa Senators | Interference | 12/19/2014 | Anaheim Ducks | Home | Dean Morton, Francois St. Laurent
Alex Chiasson | Ottawa Senators | Hooking | 12/19/2014 | Anaheim Ducks | Home | Dean Morton, Francois St. Laurent
Erik Karlsson | Ottawa Senators | Hooking | 12/20/2014 | Montreal Canadiens | Away | Kelly Sutherland, Francois St. Laurent
Eric Gryba | Ottawa Senators | Hooking | 12/20/2014 | Montreal Canadiens | Away | Kelly Sutherland, Francois St. Laurent
Mike Hoffman | Ottawa Senators | Too many men/ice - bench | 12/20/2014 | Montreal Canadiens | Away | Kelly Sutherland, Francois St. Laurent
David Legwand | Ottawa Senators | Holding | 12/20/2014 | Montreal Canadiens | Away | Kelly Sutherland, Francois St. Laurent
Erik Condra | Ottawa Senators | Cross checking | 12/22/2014 | Washington Capitals | Away | Justin St. Pierre, Kevin Pollock
Mark Borowiecki | Ottawa Senators | Roughing | 12/22/2014 | Washington Capitals | Away | Justin St. Pierre, Kevin Pollock
Milan Michalek | Ottawa Senators | Delaying Game-Puck over glass | 12/22/2014 | Washington Capitals | Away | Justin St. Pierre, Kevin Pollock
Colin Greening | Ottawa Senators | Misconduct (10 min) | 12/22/2014 | Washington Capitals | Away | Justin St. Pierre, Kevin Pollock
Eric Gryba | Ottawa Senators | Holding | 12/22/2014 | Washington Capitals | Away | Justin St. Pierre, Kevin Pollock
Colin Greening | Ottawa Senators | Interference | 12/27/2014 | Detroit Red Wings | Home | Ghislain Hebert, Eric Furlatt
Alex Chiasson | Ottawa Senators | Hi-sticking | 12/27/2014 | Detroit Red Wings | Home | Ghislain Hebert, Eric Furlatt
Mark Borowiecki | Ottawa Senators | Interference | 12/27/2014 | Detroit Red Wings | Home | Ghislain Hebert, Eric Furlatt
Milan Michalek | Ottawa Senators | Slashing | 12/27/2014 | Detroit Red Wings | Home | Ghislain Hebert, Eric Furlatt
Colin Greening | Ottawa Senators | Hooking | 12/29/2014 | Buffalo Sabres | Home | Paul Devorski, Graham Skilliter
Jared Cowen | Ottawa Senators | Fighting (maj) | 12/29/2014 | Buffalo Sabres | Home | Paul Devorski, Graham Skilliter
Chris Phillips | Ottawa Senators | Hooking | 12/29/2014 | Buffalo Sabres | Home | Paul Devorski, Graham Skilliter
David Legwand | Ottawa Senators | Hooking | 12/29/2014 | Buffalo Sabres | Home | Paul Devorski, Graham Skilliter
David Legwand | Ottawa Senators | Hooking | 12/29/2014 | Buffalo Sabres | Home | Paul Devorski, Graham Skilliter
Colin Greening | Ottawa Senators | Roughing | 12/29/2014 | Buffalo Sabres | Home | Paul Devorski, Graham Skilliter
Erik Karlsson | Ottawa Senators | Holding | 01/03/2015 | Boston Bruins | Away | Wes McCauley, Dean Morton
Bobby Ryan | Ottawa Senators | Too many men/ice - bench | 01/03/2015 | Boston Bruins | Away | Wes McCauley, Dean Morton
